iter	Logloss
0	0.6483232399
1	0.6175744559
2	0.5971269386
3	0.5827285927
4	0.5725572096
5	0.5651654817
6	0.5601479009
7	0.5554868722
8	0.5523578858
9	0.5501313549
10	0.548308113
11	0.5471095502
12	0.5458070963
13	0.5447054879
14	0.5439172917
15	0.5433253202
16	0.5427897488
17	0.5422845493
18	0.5418825626
19	0.54143126
20	0.5411258199
21	0.540810662
22	0.5405262739
23	0.5401846459
24	0.5399388192
25	0.5396676846
26	0.5393670235
27	0.5391236263
28	0.5388809617
29	0.538682771
30	0.5385340166
31	0.5383823175
32	0.5382428154
33	0.5381161189
34	0.5379345266
35	0.5377316501
36	0.5375787978
37	0.5374559481
38	0.537296938
39	0.5372168103
40	0.5371093944
41	0.5369512218
42	0.5368580048
43	0.53676997
44	0.5366873737
45	0.5365925855
46	0.5364973015
47	0.536345354
48	0.5362729002
49	0.5362450125
50	0.5361734749
51	0.5361416316
52	0.5359767536
53	0.5358609747
54	0.535665484
55	0.5355487151
56	0.5354162496
57	0.5353589348
58	0.5352921222
59	0.5352490789
60	0.5352197585
61	0.5351803475
62	0.5351755996
63	0.5350410676
64	0.5349967959
65	0.5348281195
66	0.5348188881
67	0.5347161107
68	0.5346212578
69	0.5345150854
70	0.5344431413
71	0.5344401039
72	0.5344378644
73	0.5344163583
74	0.5343357176
75	0.5341899268
76	0.5340764293
77	0.533939784
78	0.533810563
79	0.5338090914
80	0.5337680511
81	0.5336814335
82	0.5336064425
83	0.533593566
84	0.5335229385
85	0.5334856774
86	0.533474518
87	0.5334051025
88	0.5332343222
89	0.5331786428
90	0.5330713718
91	0.5329993983
92	0.5329982462
93	0.5329806887
94	0.5329141225
95	0.5328719099
96	0.5327953713
97	0.5325745407
98	0.5325726659
99	0.5325714693
