iter	Passed	Remaining
0	11	1129
1	22	1089
2	32	1063
3	44	1071
4	55	1054
5	66	1035
6	75	1006
7	85	984
8	93	949
9	101	911
10	106	864
11	111	820
12	117	783
13	122	753
14	128	726
15	133	700
16	138	677
17	143	655
18	149	636
19	154	619
20	160	603
21	165	587
22	170	570
23	175	555
24	180	541
25	186	530
26	191	518
27	197	507
28	202	496
29	207	484
30	212	474
31	218	464
32	224	455
33	229	446
34	235	436
35	240	427
36	246	419
37	251	409
38	256	401
39	261	392
40	267	384
41	272	376
42	278	369
43	284	361
44	289	354
45	295	346
46	301	339
47	306	332
48	311	324
49	317	317
50	322	309
51	327	302
52	333	295
53	338	288
54	344	281
55	349	274
56	355	268
57	361	261
58	366	254
59	372	248
60	377	241
61	382	234
62	387	227
63	393	221
64	398	214
65	404	208
66	409	201
67	414	195
68	420	188
69	425	182
70	430	175
71	435	169
72	439	162
73	445	156
74	450	150
75	456	144
76	462	138
77	467	131
78	472	125
79	477	119
80	482	113
81	488	107
82	493	101
83	498	94
84	503	88
85	509	82
86	514	76
87	520	70
88	525	64
89	530	58
90	536	53
91	540	47
92	545	41
93	550	35
94	555	29
95	560	23
96	565	17
97	571	11
98	575	5
99	580	0
